"route_number","stop_index","hour","minutes"
"305","33","6","48 58"
"305","33","7","08 18 28 38 48 58"
"305","33","8","08 18 28 38 48 58"
"305","33","9","08 18 28 38 48 58"
"305","33","10","08 18 28 38 48 58"
"305","33","11","08 18 28 38 48 58"
"305","33","12","08 18 28 38 48 58"
"305","33","13","08 18 28 38 48 58"
"305","33","14","08 18 28 38 48 58"
"305","33","15","08 18 28 38 48 58"
"305","33","16","08 18 28 38 48 58"
"305","33","17","08 18 28 38 48 58"
"305","33","18","08 18 28 38 48 58"
"305","33","19","08 18 28 38 48 58"
"305","33","20","08 18 28 38 48 58"
"305","33","21","08 18 28 38 48 58"
"305","33","22","08 18 28 38 48 58"
"305","33","23","08 18 28 38"
"305","34","6","49 59"
"305","34","7","09 19 29 39 49 59"
"305","34","8","09 19 29 39 49 59"
"305","34","9","09 19 29 39 49 59"
"305","34","10","09 19 29 39 49 59"
"305","34","11","09 19 29 39 49 59"
"305","34","12","09 19 29 39 49 59"
"305","34","13","09 19 29 39 49 59"
"305","34","14","09 19 29 39 49 59"
"305","34","15","09 19 29 39 49 59"
"305","34","16","09 19 29 39 49 59"
"305","34","17","09 19 29 39 49 59"
"305","34","18","09 19 29 39 49 59"
"305","34","19","09 19 29 39 49 59"
"305","34","20","09 19 29 39 49 59"
"305","34","21","09 19 29 39 49 59"
"305","34","22","09 19 29 39 49 59"
"305","34","23","09 19 29 39"
"305","35","6","50"
"305","35","7","00 10 20 30 40 50"
"305","35","8","00 10 20 30 40 50"
"305","35","9","00 10 20 30 40 50"
"305","35","10","00 10 20 30 40 50"
"305","35","11","00 10 20 30 40 50"
"305","35","12","00 10 20 30 40 50"
"305","35","13","00 10 20 30 40 50"
"305","35","14","00 10 20 30 40 50"
"305","35","15","00 10 20 30 40 50"
"305","35","16","00 10 20 30 40 50"
"305","35","17","00 10 20 30 40 50"
"305","35","18","00 10 20 30 40 50"
"305","35","19","00 10 20 30 40 50"
"305","35","20","00 10 20 30 40 50"
"305","35","21","00 10 20 30 40 50"
"305","35","22","00 10 20 30 40 50"
"305","35","23","00 10 20 30 40"
"305","36","6","51"
"305","36","7","01 11 21 31 41 51"
"305","36","8","01 11 21 31 41 51"
"305","36","9","01 11 21 31 41 51"
"305","36","10","01 11 21 31 41 51"
"305","36","11","01 11 21 31 41 51"
"305","36","12","01 11 21 31 41 51"
"305","36","13","01 11 21 31 41 51"
"305","36","14","01 11 21 31 41 51"
"305","36","15","01 11 21 31 41 51"
"305","36","16","01 11 21 31 41 51"
"305","36","17","01 11 21 31 41 51"
"305","36","18","01 11 21 31 41 51"
"305","36","19","01 11 21 31 41 51"
"305","36","20","01 11 21 31 41 51"
"305","36","21","01 11 21 31 41 51"
"305","36","22","01 11 21 31 41 51"
"305","36","23","01 11 21 31 41"
"305","37","6","52"
"305","37","7","02 12 22 32 42 52"
"305","37","8","02 12 22 32 42 52"
"305","37","9","02 12 22 32 42 52"
"305","37","10","02 12 22 32 42 52"
"305","37","11","02 12 22 32 42 52"
"305","37","12","02 12 22 32 42 52"
"305","37","13","02 12 22 32 42 52"
"305","37","14","02 12 22 32 42 52"
"305","37","15","02 12 22 32 42 52"
"305","37","16","02 12 22 32 42 52"
"305","37","17","02 12 22 32 42 52"
"305","37","18","02 12 22 32 42 52"
"305","37","19","02 12 22 32 42 52"
"305","37","20","02 12 22 32 42 52"
"305","37","21","02 12 22 32 42 52"
"305","37","22","02 12 22 32 42 52"
"305","37","23","02 12 22 32 42"
"305","38","6","52"
"305","38","7","02 12 22 32 42 52"
"305","38","8","02 12 22 32 42 52"
"305","38","9","02 12 22 32 42 52"
"305","38","10","02 12 22 32 42 52"
"305","38","11","02 12 22 32 42 52"
"305","38","12","02 12 22 32 42 52"
"305","38","13","02 12 22 32 42 52"
"305","38","14","02 12 22 32 42 52"
"305","38","15","02 12 22 32 42 52"
"305","38","16","02 12 22 32 42 52"
"305","38","17","02 12 22 32 42 52"
"305","38","18","02 12 22 32 42 52"
"305","38","19","02 12 22 32 42 52"
"305","38","20","02 12 22 32 42 52"
"305","38","21","02 12 22 32 42 52"
"305","38","22","02 12 22 32 42 52"
"305","38","23","02 12 22 32 42"
"305","39","6","54"
"305","39","7","04 14 24 34 44 54"
"305","39","8","04 14 24 34 44 54"
"305","39","9","04 14 24 34 44 54"
"305","39","10","04 14 24 34 44 54"
"305","39","11","04 14 24 34 44 54"
"305","39","12","04 14 24 34 44 54"
"305","39","13","04 14 24 34 44 54"
"305","39","14","04 14 24 34 44 54"
"305","39","15","04 14 24 34 44 54"
"305","39","16","04 14 24 34 44 54"
"305","39","17","04 14 24 34 44 54"
"305","39","18","04 14 24 34 44 54"
"305","39","19","04 14 24 34 44 54"
"305","39","20","04 14 24 34 44 54"
"305","39","21","04 14 24 34 44 54"
"305","39","22","04 14 24 34 44 54"
"305","39","23","04 14 24 34 44"
"305","40","6","57"
"305","40","7","07 17 27 37 47 57"
"305","40","8","07 17 27 37 47 57"
"305","40","9","07 17 27 37 47 57"
"305","40","10","07 17 27 37 47 57"
"305","40","11","07 17 27 37 47 57"
"305","40","12","07 17 27 37 47 57"
"305","40","13","07 17 27 37 47 57"
"305","40","14","07 17 27 37 47 57"
"305","40","15","07 17 27 37 47 57"
"305","40","16","07 17 27 37 47 57"
"305","40","17","07 17 27 37 47 57"
"305","40","18","07 17 27 37 47 57"
"305","40","19","07 17 27 37 47 57"
"305","40","20","07 17 27 37 47 57"
"305","40","21","07 17 27 37 47 57"
"305","40","22","07 17 27 37 47 57"
"305","40","23","07 17 27 37 47"
"305","41","6","58"
"305","41","7","08 18 28 38 48 58"
"305","41","8","08 18 28 38 48 58"
"305","41","9","08 18 28 38 48 58"
