"route_number","stop_name","hour","minutes"
"302","უნივერსიტეტის მაღლივი კორპუსი - [977]","STOP_NAME","71"
"307","ქიზიყის ქუჩა #5 - [2929]","STOP_NAME","1"
"307","ქიზიყის ქუჩა #7 - [3222]","STOP_NAME","2"
"307","ქიზიყის ქუჩა #11 - [3220]","STOP_NAME","3"
"307","პოლიციის ქუჩა - [3223]","STOP_NAME","4"
"307","პეტრე სურგულაძის ქუჩა - [3211]","STOP_NAME","5"
"307","აბელ ენუქიძის ქუჩა - [2823]","STOP_NAME","6"
"307","ბესარიონ ჭიჭინაძის შესახვევი - [3212]","STOP_NAME","7"
"307","შალვა ნებიერიძის ქუჩა - [3213]","STOP_NAME","8"
"307","ლუკა რაზიკაშვილის ქუჩა - [3214]","STOP_NAME","9"
"307","#201-ე სუსტმხედველთა საჯარო სკოლა - [1098]","STOP_NAME","10"
"307","ბესარიონ ჭიჭინაძის ქუჩა #21 - [1095]","STOP_NAME","11"
"307","#94-ე საჯარო სკოლა - [1099]","STOP_NAME","12"
"307","#131-ე საჯარო სკოლა - [1093]","STOP_NAME","13"
"307","ზურაბ კვანტრიშვილის ქუჩა - [1101]","STOP_NAME","14"
"307","გუმათჰესის ქუჩა #10 - [1102]","STOP_NAME","15"
"307","ენგურჰესის ქუჩა - [3068]","STOP_NAME","16"
"307","ბესარიონ ჭიჭინაძის ქუჩა - [1103]","STOP_NAME","17"
"307","ფრონეს ქუჩა - [1091]","STOP_NAME","18"
"307","რქაწითლის ქუჩა - [3532]","STOP_NAME","19"
"307","ქინძმარაულის ქუჩა #32 - [3533]","STOP_NAME","20"
"307","ქინძმარაულის ქუჩა #15 - [1088]","STOP_NAME","21"
"307","საფერავის ქუჩა - [1090]","STOP_NAME","22"
"307","რკინიგზის მახარისხებელი - [1086]","STOP_NAME","23"
"307","გადასასვლელი ხიდი - [3536]","STOP_NAME","24"
"307","სამგორის პოლიციის დეპარტამენტი - [3055]","STOP_NAME","25"
"307","მოსკოვის გამზირი #47 - [1082]","STOP_NAME","26"
"307","ნანა სამარგულიანის ქუჩა - [1080]","STOP_NAME","27"
"307","მოსკოვის გამზირი #38 - [1076]","STOP_NAME","28"
"307","მოსკოვის გამზირი #24ა - [1074]","STOP_NAME","29"
"307","სამგორის რაიონის გამგეობა - [1498]","STOP_NAME","30"
"307","მოსკოვის გამზირი #19 - [1071]","STOP_NAME","31"
"307","მოსკოვის გამზირი #15 - [1069]","STOP_NAME","32"
"307","ვარლამ ჩერქეზიშვილის ქუჩა - [2149]","STOP_NAME","33"
"307","მ/ს "სამგორი" - [1066]","STOP_NAME","34"
"307","ტბელ აბუსერიძის ქუჩა - [3097]","STOP_NAME","35"
"307","მ/ს "ისანი" - [4584]","STOP_NAME","36"
"307","#87-ე საჯარო სკოლა - [1016]","STOP_NAME","37"
"307","ლეხ კაჩინსკის ქუჩა - [1014]","STOP_NAME","38"
"307","#96-ე საჯარო სკოლა - [2123]","STOP_NAME","39"
"307","მ/ს "300 არაგველი" - [4351]","STOP_NAME","40"
"307","#89-ე საჯარო სკოლა - [4348]","STOP_NAME","41"
"307","#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა - [4324]","STOP_NAME","42"
"307","მ/ს "ავლაბარი" - [4344]","STOP_NAME","43"
