"route_number","stop_index","stop_name"
"312","21","თრიალეთის ქუჩა - [4393]"
"312","22","მიხეილ გრიგორაშვილის ქუჩა - [1483]"
"312","23","ორხევის ხიდი - [1484]"
"312","24","ორხევი, ნიკო ფიროსმანის ქუჩა - [3023]"
"312","25","იასონ ლორთქიფანიძის ქუჩა - [4240]"
"312","26","ალექსანდრე თვალჭრელიძის შესახვევი - [2737]"
"312","27","ალექსანდრე თვალჭრელიძის ქუჩა - [1485]"
"312","28","ისთ ფოინთი - [4669]"
"312","29","მიხეილ გახოკიძის ქუჩა - [2738]"
"312","30","სამხედრო ქალაქი - [4242]"
"312","31","გიორგი აბაშვილის ქუჩა - [1488]"
"312","32","აკაკი ვასაძის ქუჩა - [839]"
"312","33","კახეთის გზატკეცილი #89 - [4394]"
"312","34","ელდარის ქუჩა - [3019]"
"312","35","ჯავახეთის ქუჩა - [1487]"
"312","36","მოსკოვის გამზირი #12 - [3056]"
"312","37","მოსკოვის გამზირი #19 - [1071]"
"312","38","მოსკოვის გამზირი #15 - [1069]"
"312","39","ვარლამ ჩერქეზიშვილის ქუჩა - [2149]"
"312","40","მ/ს ""სამგორი"" - [1066]"
"312","41","ტბელ აბუსერიძის ქუჩა - [3097]"
"312","42","მ/ს ""ისანი"" - [3869]"
"314","1","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]"
"314","2","#192-ე საჯარო სკოლა - [1190]"
"314","3","არჩილ მეფის ქუჩა #12 - [3316]"
"314","4","არჩილ მეფის ქუჩა #8 - [1191]"
"314","5","მარკო პოლოს ქუჩა - [3314]"
"314","6","დავით ბატონიშვილის ქუჩა - [1192]"
"314","7","იან ჰომერის ქუჩა - [3850]"
"314","8","მირიან მეფის ქუჩა #100 - [1193]"
"314","9","მირიან მეფის ქუჩა #90 - [1194]"
"314","10","თეიმურაზ I-ის ქუჩა - [4333]"
"314","11","ტარიელის ქუჩა - [2506]"
"314","12","გიორგი ბრწყინვალეს ქუჩა - [1196]"
"314","13","პეტრე იბერის ქუჩა #16 - [4200]"
"314","14","იოანე პეტრიწის ქუჩა #14 - [1197]"
"314","15","იოანე პეტრიწის ქუჩა #8 - [1198]"
"314","16","იოანე პეტრიწის ქუჩა #4 - [1199]"
"314","17","ფარნავაზ მეფის გამზირი - [2497]"
"314","18","გიორგი ბრწყინვალეს ქუჩა - [1200]"
"314","19","ანბანის სკვერი - [3697]"
"314","20","დავით აღმაშენებლის ხეივანი მე-12 კილომეტრი - [1201]"
"314","21","ჭაშნაგირის ქუჩა - [1203]"
"314","22","დაცვის პოლიცია - [2785]"
"314","23","ლევან ფიცხელიანის ქუჩა - [1202]"
"314","24","13 ასურელი მამის ქუჩა - [2064]"
"314","25","საქალაქო სასამართლო - [1205]"
"314","26","დავით აღმაშენებლის ხეივანი #44 - [3601]"
"314","27","ევგენი მიქელაძის ქუჩა - [4198]"
"314","28","სოფელ დიღმის გადასახვევი - [1174]"
"314","29","პოლიციის დეპარტამენტი - [2166]"
"314","30","გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო - [1171]"
"314","31","იასამნის ქუჩა - [3742]"
"314","32","იური გაგარინის ქუჩა #24 - [3292]"
"314","33","ელისაბედ ჩერქეზიშვილის ქუჩა - [1166]"
"314","34","ოჩამჩირის ქუჩა - [3293]"
"314","35","ზურაბ ჟვანიას მოედანი - [3650]"
"314","36","ჟიული შარტავას ქუჩა #42 - [1161]"
"314","37","ანა კალანდაძის ქუჩა - [3265]"
"314","38","თბილისის მერია - [3008]"
"314","39","გიორგი სააკაძის მოედანი - [1007]"
"314","40","ტექნიკური უნივერსიტეტი III კორპუსი - [1008]"
"314","41","26 მაისის მოედანი - [925]"
"314","42","სიმონ ჩიქოვანის ქუჩა - [924]"
"314","43","ზოოპარკი - [804]"
"314","44","სიმონ ჯანაშიას ქუჩა - [806]"
"314","45","ფილარმონია - [4356]"
"314","46","მ/ს ""რუსთაველი"" - [814]"
"314","47","ოპერის თეატრი - [818]"
"314","48","პირველი კლასიკური გიმნაზია - [820]"
"314","49","მ/ს ""თავისუფლების მოედანი"" - [821]"
"314","50","ნიკოლოზ ბარათაშვილის ქუჩა - [3931]"
"314","51","ელენე ახვლედიანის აღმართი - [2994]"
"315","1","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]"
"315","2","#192-ე საჯარო სკოლა - [1190]"
"315","3","არჩილ მეფის ქუჩა #12 - [3316]"
"315","4","არჩილ მეფის ქუჩა #8 - [1191]"
"315","5","მარკო პოლოს ქუჩა - [3314]"
"315","6","დავით ბატონიშვილის ქუჩა - [1192]"
"315","7","იან ჰომერის ქუჩა - [3850]"
"315","8","მირიან მეფის ქუჩა #100 - [1193]"
"315","9","მირიან მეფის ქუჩა #90 - [1194]"
"315","10","თეიმურაზ I-ის ქუჩა - [4333]"
"315","11","ტარიელის ქუჩა - [2506]"
"315","12","გიორგი ბრწყინვალეს ქუჩა - [1196]"
"315","13","პეტრე იბერის ქუჩა #16 - [4200]"
"315","14","იოანე პეტრიწის ქუჩა #14 - [1197]"
"315","15","იოანე პეტრიწის ქუჩა #8 - [1198]"
"315","16","იოანე პეტრიწის ქუჩა #4 - [1199]"
"315","17","ფარნავაზ მეფის გამზირი - [2497]"
"315","18","გიორგი ბრწყინვალეს ქუჩა - [1200]"
"315","19","ანბანის სკვერი - [3697]"
